hash,CS,FD,gamma_5,gamma_10,gamma_20,gamma_30,gamma_50
0298ec915b7b7935816dce9deacbea10c67396eb6d607cacec5711f401ee8b3b,4096,280,303104,765952,745472,745472,536576
02a87b077f9bd5e5cd24a3cd9c06753337153fca3f95212c7189f08ed85e2ad9,4096,200,200704,765952,704512,696320,688128
02abb77254048cb138c0cc5b7f8ee93df9be9a4d6bc8ff69d595113e8c3b40d1,4096,128,46080,386560,409088,749568,724480
02ad8844275c604dd03c706a65b9713d80b2e190d4e20b16a38f03a480e73680,4096,128,225728,254400,378304,579008,340928
02b566160eff6fb97493f90e6c7f0c609401603e07cbaac1f812b0c6fe1cd4ea,4096,184,299008,671744,765952,684032,544768
02c9a83ea73450492c6654b2bbc7127aaca8236015e0def09cb3ab5d27b11a4a,4096,248,292864,623616,420864,742912,750592
02d298a48da576f7f91d4e00a05c4f33cb151798a5a358369dde73117c20ed9e,4096,128,292352,703488,622592,633344,664576
02d984bb402b8e4c4e0b56f0aa59d3291bb10cb05f557239a2fd11f47c592098,4096,128,287680,237504,5568,46528,623040
02de4bace3b2b27362464ba09b1a1a5e3e3077c941ddc783b31040dc1b01f519,-1,-1,292864,744960,749568,694272,729600
02dea93edf44413d993bb12a99c5e8f6df79c3bba831782b0376001f837f0303,-1,-1,-1,527360,749568,-1,749568
02e61199c714b612969cbaa18b79f426d17ff95b4c13b9fa6aba130e07ae81cb,4096,128,46080,720384,703488,752128,734208
02f3c95c72d12b736753ff31bbbadc586800768c668d144d9dd50eb946fe4edb,4096,224,303104,765952,765952,765952,765952
02f67e5aa90fe3de2be75a27ffc796931b6c3689903ac45437c3184defaabae4,4096,200,294912,749568,724992,765952,761856
02fc45df7d52bc7142750a0b08d78a6fba2d711d668122246ec8513b397a7351,4096,128,267264,669184,697856,716288,750592
03169b9fdf7551218fd93dc5c4bba892c1e0e6cb23e64a83660c6fdf3b2f2578,4096,216,292864,727552,728576,673280,750592
031ea049f149698feb2ff9a0725dc6aeb81c5dba8d43631ab2dc0cb39bb94c5f,4096,128,204224,497600,684992,409536,560576
032703331e26b28661519bba0b561b9919d787560bfe6c9e43109315bb8f2c30,4096,192,98304,0,262144,462848,253952
03524f2e020005caf713dbb4e774b063a3e32964d4db15369b9a861477130082,4096,128,178112,744384,260032,658368,747456
0376c6b19bd0e69e1007ce0f4bc458372a4e03c70d824e23fe27755d29476ac8,4096,16,292814,598990,624590,626126,700878
038059c8e8a5c029b2e2e5e5082df755f33d32819b1ab03d6aa6384bd05e9e62,4096,128,234496,637440,747520,324096,710144
038efca56574dad6782d8924d096a2c5e45773d6e5303f8549f6ab7e803e724f,4096,232,292864,737792,702464,750080,733696
03978943dbdf2cb18106d41838e1280629c54a4b9ca11312f81646839a47682d,4096,128,6072,619448,744888,331192,747960
03b142a8fb46b9548eccdc4b67d7149673866f2fb493e6e128d856e5225c97b9,4096,288,246784,632320,619008,740352,744448
03bbd7816e1539089da1acde19f5ca9c0921a3d6fcc0bc37e793cc573ffffd60,4096,232,105472,687616,750080,663040,46592
03cf7e10966bb5497261bd387f3b9532f70a3f4a245a6241ae75351d7745fa32,4096,248,-1,-1,-1,-1,-1
03dbc773e36df654a9097e12a8072dd5b5ca69b012234b1de4e1b0eb6c20a7ac,4096,256,46080,519168,710144,735744,744960
03e02c5ccdfbb0a66ec6968fa9782f94de430120b6f691e714b397904d7fd391,4096,184,200704,618496,618496,737280,663552
03ed020302836132fc3ef023c28bddde8c8153f39e44586879525770dcf4500a,4096,216,229376,761856,733184,720896,757760
03ee832a79eccfc94378b8eb743754216e4972cbf02e1e8c85aa472e29176483,4096,128,46528,732096,492992,713664,725952
03ee966b529e065badffb5f52a85592a12f049ac66e8e9dd8bcec274d15a3302,4096,128,-1,745472,747520,749568,-1
03fb748a4bd37a5fe456651b4aded8038a4ba467209526a30f2e96bbb3267dc2,-1,-1,-1,-1,-1,-1,-1
040c0a363d1ef9a622041cbe9b043d83c07ac2a600a449422e712b9a74d5064d,4096,216,167936,565248,643072,663552,761856
041b674a502cc291541bbb2eef69045f6ce30e97a7e5cb0dda8ff4eebd6ee774,4096,184,303104,749568,577536,729088,761856
042d4d7816b019fed2bdde5c12dc08970fcd7b6ed195b32e2c32c6a97c026173,4096,176,249856,605184,537600,634880,656896
043151411fc1d39edf560f34db2e46911b310c0ae658ef71dea2734470d28368,4096,224,292864,749568,703488,675840,409088
0448b1a8cdce30b10fbac12bafd99468d516feca101ed99b717dfbb6787523e2,4096,184,196608,630784,704512,577536,708608
044cd3907398aebb8497d1e629212804bdec23a26fa46b1dcb11944629cf4374,4096,248,163840,761856,704512,765952,765952
0456d789230954b175f59a7f29ed5122d4f081b341e558e803fd6c72b6c00b37,4096,200,294912,708608,565248,761856,765952
04574202f0f47ce3143bab8f7710fa81316dbac49bcc1be30b5289d59776ec85,4096,184,285184,451584,743936,668160,746496
046221dadb891f39379e6706e3ec077f8507f5ab98e3bab120d8703abf395d14,4096,184,294912,512000,536576,765952,761856
0468e6b6656a0a085adcf24b96bc096fd3db07af8eb1c9e22c058d0c8e571c04,4096,256,-1,-1,-1,-1,752128
04693023554c44c35065dfea3b9082380cc7da33f6bcbfb8ff8925bd23afb0ce,4096,184,270336,602112,704512,704512,761856
046ccf3ffeae68abcd42aeeae3115c5992a29c2a9cc5214139e7e36690e5ec9f,-1,-1,303104,638976,-1,-1,-1
04759cfc4dbf140dfce857b9ad23dad696ffcb722b1876a37f3bcffcce45fc47,4096,128,288256,652800,749568,730112,749568
047806b7669d8d0b1e14af23343d9961e0c61890e7addc8908dd731d2900960e,4096,128,253952,607744,576000,738304,713728
047d202be580cb2a2ccdb2f440dd1ea055acac30df35017a264094a07e54fa61,4096,128,291260,501692,173500,320444,746940
048babafb30fe1cd3c57e8d70007aa990126918e0cf8e0821db7d42495cfc895,4096,232,-1,748032,734208,737792,745984
04ba813854e040b0eadda98fedab5d540ce60c65b545c2f4800b70cd217ce3f1,4096,184,253952,430080,581632,716800,712704
04c44ae0bbc2cc0c10fcb4bded7eb498be1b8154ee3f6bb9813de0d57cf80818,-1,-1,-1,446464,-1,0,-1
04c7c30f84111e5f8c0de130833ff6ec73f1a7b852385ee6a3f0304f89fa2385,4096,184,223232,567808,741888,723968,694272
04d875e21bccdf2330a0324fadc3b2dd25838705cdf0db6425bee6c22af0c137,4096,248,292864,718336,340992,630272,687104
04dac855409418fa8cfa74f3a567745765a8324f76fb0090f1c4669024ab2576,4096,128,292352,754176,678912,750080,752128
050c10d0d2c188cfb63e1ac11f53bafd56f4def73802858ac1d4e5ab580a24fa,4096,232,299008,573440,708608,753664,765952
051087c5af027f8b04a6326dc187970c2c10de6cca149fcd848c2130bc6f4299,4096,224,303104,765952,675840,765952,765952
05169c1246086783f6249a8c3eb90409ab857f9bc304cfce7d99d716cb643a72,4096,176,262144,765952,765952,765952,700416
