hash,FD,CS,gamma_5_x,gamma_10_x,gamma_20,gamma_30,gamma_50,gamma_10_sp,gamma_5_sp
9e86bf27bfb1582b30bdb7f6ef005f9c0af10243dc73ea5c0951f79d7d97d8d6,-1,-1,303104,737280,753664,512000,684032,6057984,1126400
504a3f31bcdce4971e87666defa8cd8c54fd26767956e83064d8c4e06b8dd86e,-1,-1,-1,749701,749701,726661,735365,6185093,1114757
bd0867b82672dad5b1a593476bd0b7e50b5b0d97d9526af6799fc8e105701f46,-1,-1,293312,744896,411584,718784,743360,4372416,1115072
52081de8542da2acc8f241559cab87db467b1c47077a577237326d47f78f3c5b,-1,-1,278528,733184,716800,733184,741376,3612672,995328
f173d37359ba4159b86150746291a93bcd1a642e70dc3409dc269f7989ded2b6,-1,-1,163840,765952,737280,684032,765952,5718016,1126400
1535bb5a3c59a7c43ef03efcffdeebc1d9ae31556d489d2297d6f374cf9aa1ab,-1,-1,262144,729088,438272,643072,757760,6205440,929792
40899898fedd59cb4a178c2e6a77f1f06025b564be3f116c14ece861375036d2,-1,-1,-1,765952,765952,720896,753664,6012928,1093632
40cc65a365b4902ed5d276fc6861b04d0ff09601d787476439436d596d3111e6,-1,-1,303104,720896,745472,585728,503808,1232896,1126400
fa3ba952a5d345da2a1a4475e0851329b3996d1c16a2c7531005be8a21e5c642,-1,-1,176128,757760,765952,765952,765952,6160384,1126400
8ffbc2c668d2727c0395bae0ccf63cebb42e37d21954f2db93dd44e3368b5cb1,-1,-1,291328,683520,750080,753664,664576,6020608,924672
bd318d7c29279b15d40f54f8630f94651e0ddb8a6a639d7d2c239b1fe63f008a,-1,-1,293312,748480,745920,717760,714688,5581760,1115072
eebc49444a1e326a87d7a9b03b757a4ed6cb383fa3461a645264847733b59542,-1,-1,293312,658880,745920,721344,748480,4905920,1115072
b482bcc22d265d02f60bf0ed0fc361fe79128b5c6386c4a0ea060727af6b8690,-1,-1,-1,-1,-1,-1,-1,-1,-1
0cccd64411135a4c8dc33a617d84095e955a38fb81fa0ce5fb15383009bbde95,-1,-1,292864,749056,616960,753664,653312,5942784,1034240
519504e9f38cb2799de9ed83055100b110f7b0b6c87b77f64adcabae025a7638,-1,-1,-1,745472,675840,765952,761856,6205440,1085440
5d82b490d99d62e4c34bc8770d44fd627b063473f154ebd1326116186e7e09db,-1,-1,266172,750012,750012,744380,660412,6185404,937916
9cef8e57def1322f1b637d3868cfa50f03f977a8cba555ebe5faa228daf6cb0d,-1,-1,303104,716800,765952,729088,716800,6168576,933888
17003612d11504774ced192131cc71bc84a1ae805c37ee24cdb19574e5229905,-1,-1,290816,665088,713216,731648,721920,1409024,1112576
1ca48a183be9f3b1c74577bf4923148c312040b0017a3ed849487f5cdfa9aaab,-1,-1,289280,707072,707072,675840,744448,6124544,1021952
e6a7d707e92f317c7d2a607c749ce5b4b94acfef48d51f60c0ccd64ddba6671e,-1,-1,299008,765952,651264,745472,724992,6205440,1126400
2a1742ac4070226353c139f33b97da21380d5d3b34ebaf142aede32719f47b42,-1,-1,299008,765952,737280,765952,684032,5627904,942080
f29f614ca58de4e3b6e482e0576e94218721234515934986ca67c0cf3462d430,-1,-1,262144,765952,745472,741376,761856,5718016,1077248
f89693784a60b02d64b6954c308a915c9929ab0cbca29d86aeec7539a7595af9,-1,-1,292864,750080,719872,496128,750080,6185472,909312
cabbe7f20f660b2d81ca62887b497a5b5319ae03e946cccff90a770a24187bcc,-1,4096,292864,749568,749568,744960,675840,5864448,1114624
088f4543a93246511f683682cdfc41f601d04133a313441b4f5a3db0165effc7,-1,-1,149504,573952,737280,750080,724992,1490944,925696
853b99affbe2f201c416d182f482f183367cc4a4602d7dd04439a664fa950dba,-1,-1,212992,331776,745472,749568,667648,6193152,1105920
9372dc002f7da57254cca9b29539bd42507e3182bd3347e7e20ff7e5aad9f986,-1,-1,-1,-1,-1,-1,-1,-1,-1
ecc3807d8c575216dc8061ea373e9b09a0eff985655f312858763613a7273708,-1,-1,303104,581632,675840,716800,761856,6205440,1077248
89bae6edf01fbafc685bd2ef89899f67cf1d53ffd8187ec787f72afcb0488083,-1,-1,249344,736768,697344,743936,754688,5998592,1045504
8e279e86206f7951ea78963a67c773f32995afcdcc5170bd09f84dfb5a1c2ad6,-1,-1,-1,-1,-1,-1,-1,-1,-1
703230010edb5f439ffa7bc0bf78b2c6519e29303807c65d264d9d81a5783b58,-1,-1,-1,703488,-1,-1,-1,-1,-1
2e6784b7b1606c83bfb303d213d949d11e3258b5539e2bc781cd39eef2691030,-1,-1,-1,749568,761856,765952,733184,6000640,1048576
6d48d041175b33cc3d7f3ae37c73070c53352d7805498e96b3a34053a7ccd491,-1,-1,286720,614912,482816,742912,723456,6184960,1114624
a3abb5d9caa6f9d3d28d58d1e1b2dc83f5271f577c6952978e76b5f0f1dae3c2,-1,-1,293312,709568,734656,686528,716736,6185408,989120
bd6eb2395d2b894819345f251b2630916c36219ea9dae1e4a407c7d4e9f5ca18,-1,-1,303104,729088,430080,761856,741376,6094848,950272
aec19535233665f3bd5cacaca1831bf472c10dda2742dc34bc4c48b0f122912b,-1,-1,187904,712704,736256,725504,729600,6109184,976384
ccb6cd2cd6e8f60e0f3f265b5cc385575443decbe60c0555829645f44f3ef4cb,-1,-1,196608,639488,744960,727040,430080,6190080,1117184
