model,F1-Score@2019-Q1,Acc@2019-Q1,TPR@2019-Q1,FPR@2019-Q1,n_malware,n_goodware,F1-Score@2019-Q2,Acc@2019-Q2,TPR@2019-Q2,FPR@2019-Q2,n_malware,n_goodware,F1-Score@2019-Q3,Acc@2019-Q3,TPR@2019-Q3,FPR@2019-Q3,n_malware,n_goodware,F1-Score@2020-Q1,Acc@2020-Q1,TPR@2020-Q1,FPR@2020-Q1,n_malware,n_goodware,F1-Score@2020-Q2,Acc@2020-Q2,TPR@2020-Q2,FPR@2020-Q2,n_malware,n_goodware,F1-Score@2020-Q3,Acc@2020-Q3,TPR@2020-Q3,FPR@2020-Q3,n_malware,n_goodware,F1-Score@2021-Q1,Acc@2021-Q1,TPR@2021-Q1,FPR@2021-Q1,n_malware,n_goodware,F1-Score@2021-Q2,Acc@2021-Q2,TPR@2021-Q2,FPR@2021-Q2,n_malware,n_goodware,F1-Score@2021-Q3,Acc@2021-Q3,TPR@2021-Q3,FPR@2021-Q3,n_malware,n_goodware,F1-Score@2022-Q1,Acc@2022-Q1,TPR@2022-Q1,FPR@2022-Q1,n_malware,n_goodware,F1-Score@other_future,Acc@other_future,TPR@other_future,FPR@other_future,n_malware,n_goodware,F1-Score@other_past,Acc@other_past,TPR@other_past,FPR@other_past,n_malware,n_goodware
MalConvRS,0.4169,0.3168,0.2874,0.5164,2074,366,0.2936,0.2306,0.1843,0.4661,1644,251,0.3627,0.5014,0.7708,0.5593,192,851,0.3157,0.3012,0.2026,0.3151,1989,511,0.7325,0.6502,0.6464,0.3388,1038,511,0.8014,0.7211,0.7844,0.4396,1577,621,0.866,0.8004,0.8427,0.3378,3160,968,0.6439,0.5615,0.6189,0.5406,2238,1256,0.8676,0.8486,0.9072,0.2221,3029,2512,0.2956,0.5716,0.7229,0.4499,2346,16518,0.8848,0.8371,0.8324,0.1486,1366,451,0.9287,0.8805,0.9069,0.2798,69209,11391
MalConvRsDel,0.3505,0.3012,0.2218,0.2486,2074,366,0.3732,0.2945,0.2421,0.3625,1644,251,0.5344,0.7795,0.6875,0.1998,192,851,0.2866,0.2872,0.18,0.2955,1989,511,0.3995,0.3733,0.2813,0.3636,1038,511,0.6493,0.5596,0.5682,0.4622,1577,621,0.8322,0.7689,0.7487,0.1653,3160,968,0.5611,0.5504,0.4486,0.2683,2238,1256,0.9032,0.8894,0.9442,0.1768,3029,2512,0.4229,0.7332,0.786,0.2743,2346,16518,0.8786,0.8343,0.7972,0.0532,1366,451,0.9183,0.8668,0.8721,0.1657,69209,11391
NGramConvRS,0.6786,0.5566,0.5506,0.4098,2074,366,0.2823,0.2301,0.1746,0.4064,1644,251,0.3673,0.5839,0.6562,0.4324,192,851,0.2914,0.284,0.185,0.3307,1989,511,0.8021,0.7281,0.7437,0.3168,1038,511,0.7398,0.6592,0.6753,0.3816,1577,621,0.8624,0.7926,0.8491,0.3915,3160,968,0.6051,0.5275,0.5652,0.5398,2238,1256,0.6561,0.6737,0.5695,0.2006,3029,2512,0.1699,0.5193,0.3956,0.4631,2346,16518,0.855,0.7986,0.7899,0.1752,1366,451,0.9073,0.8463,0.8761,0.3352,69209,11391
NGramConvRsDel,0.7159,0.6086,0.58,0.2295,2074,366,0.4018,0.304,0.2695,0.4701,1644,251,0.2354,0.3337,0.5573,0.7168,192,851,0.284,0.286,0.178,0.2935,1989,511,0.5869,0.5196,0.4605,0.3113,1038,511,0.856,0.7907,0.8668,0.4026,1577,621,0.8837,0.8319,0.8342,0.1756,3160,968,0.6812,0.593,0.6787,0.5597,2238,1256,0.8378,0.8163,0.8679,0.246,3029,2512,0.5668,0.8514,0.7818,0.1387,2346,16518,0.8715,0.8233,0.7972,0.0976,1366,451,0.9327,0.8865,0.9165,0.2957,69209,11391
AvastStyleConvFDRS,0.7805,0.6709,0.6885,0.429,2074,366,0.9655,0.9398,0.9708,0.2629,1644,251,0.5157,0.7047,0.8542,0.329,192,851,0.2884,0.2952,0.1795,0.2544,1989,511,0.8704,0.8066,0.8767,0.3939,1038,511,0.8739,0.8244,0.8478,0.2351,1577,621,0.8961,0.8406,0.8978,0.3461,3160,968,0.7701,0.721,0.7297,0.2946,2238,1256,0.7169,0.7226,0.6425,0.1807,3029,2512,0.2672,0.5281,0.6918,0.4951,2346,16518,0.8819,0.8365,0.8119,0.0887,1366,451,0.931,0.8845,0.9069,0.2517,69209,11391
BBDnnFDRS,0.9129,0.859,0.8689,0.1967,2074,366,0.9643,0.9383,0.9611,0.2112,1644,251,0.5519,0.7804,0.7344,0.2092,192,851,0.3099,0.3336,0.188,0.0998,1989,511,0.8806,0.8301,0.8459,0.2149,1038,511,0.7715,0.7097,0.6829,0.2222,1577,621,0.8779,0.829,0.8035,0.0878,3160,968,0.6701,0.6365,0.5764,0.2564,2238,1256,0.8508,0.8349,0.861,0.1967,3029,2512,0.5236,0.8294,0.754,0.1599,2346,16518,0.864,0.8173,0.7723,0.0466,1366,451,0.9132,0.8587,0.8657,0.1833,69209,11391
MalConvFDRS,0.2503,0.2168,0.1538,0.4262,2074,366,0.3943,0.3077,0.2597,0.3785,1644,251,0.4333,0.6414,0.7448,0.3819,192,851,0.2717,0.2732,0.1704,0.3268,1989,511,0.8232,0.7452,0.8006,0.4132,1038,511,0.7609,0.6706,0.7305,0.4815,1577,621,0.8604,0.7905,0.8437,0.3833,3160,968,0.6274,0.573,0.5612,0.4061,2238,1256,0.7149,0.714,0.656,0.2162,3029,2512,0.2321,0.5538,0.5422,0.4446,2346,16518,0.8784,0.8327,0.8038,0.0798,1366,451,0.9144,0.8587,0.8796,0.2687,69209,11391
NGramConvFDRS,0.9446,0.9004,0.9981,0.653,2074,366,0.9503,0.9113,0.9769,0.5179,1644,251,0.4795,0.6232,0.9427,0.4489,192,851,0.9189,0.86,0.9965,0.6712,1989,511,0.8904,0.8287,0.9393,0.4876,1038,511,0.8684,0.7957,0.9398,0.57,1577,621,0.9266,0.8815,0.9763,0.4277,3160,968,0.8187,0.733,0.9415,0.6385,2238,1256,0.8562,0.8323,0.9128,0.2647,3029,2512,0.3155,0.5136,0.9015,0.5415,2346,16518,0.8863,0.8393,0.8331,0.1419,1366,451,0.9564,0.9239,0.9717,0.3663,69209,11391
AvastStyleConvKDRS,0.8872,0.8131,0.8645,0.4781,2074,366,0.9527,0.9161,0.9745,0.4661,1644,251,0.5258,0.6922,0.9271,0.3608,192,851,0.3118,0.2956,0.2006,0.3346,1989,511,0.869,0.8023,0.8854,0.4353,1038,511,0.8773,0.8153,0.9201,0.4509,1577,621,0.9406,0.9046,0.988,0.3678,3160,968,0.8697,0.8197,0.9392,0.3933,2238,1256,0.7163,0.7185,0.65,0.199,3029,2512,0.277,0.4934,0.7805,0.5473,2346,16518,0.8763,0.8283,0.8089,0.1131,1366,451,0.9508,0.9152,0.9542,0.3221,69209,11391
BBDnnKDRS,0.0595,0.1705,0.0309,0.0383,2074,366,0.3006,0.2755,0.1794,0.0956,1644,251,0.6225,0.8198,0.8073,0.1774,192,851,0.2921,0.3312,0.1735,0.0548,1989,511,0.8579,0.8073,0.7852,0.1295,1038,511,0.796,0.7493,0.6817,0.0789,1577,621,0.8813,0.8348,0.8009,0.0548,3160,968,0.6653,0.6657,0.5188,0.0725,2238,1256,0.69,0.7204,0.5692,0.0971,3029,2512,0.4979,0.8452,0.6172,0.1225,2346,16518,0.8792,0.836,0.7936,0.0355,1366,451,0.8666,0.7931,0.7828,0.1446,69209,11391
