sample_idx,MalConv,AvastStyleConv,BBDnn,NGramConv,EmberGBDT,ResNet18,MalConvRsDel,AvastStyleConvRsDel,BBDnnRsDel,NGramConvRsDel,MalConvRS,AvastStyleConvRS,BBDnnRS,NGramConvRS,MalConvFDRS,AvastStyleConvFDRS,BBDnnFDRS,NGramConvFDRS,MalConvKDRS,AvastStyleConvKDRS,BBDnnKDRS,NGramConvKDRS,MalConvRDRS,AvastStyleConvRDRS,NGramConvRDRS,BBDnnRDRS,MalConvSDRS,AvastStyleConvSDRS,BBDnnSDRS,NGramConvSDRS
0,0.3504524230957031,0.0074787139892578,0.0182163715362548,0.0023050308227539,0.1143627166748046,0.0624306201934814,0.9817357063293456,1.282139778137207,0.9640214443206788,0.9384737014770508,0.9943521022796632,0.4366734027862549,0.1472444534301757,1.1488356590270996,0.0094592571258544,0.0075142383575439,0.0089313983917236,0.0021333694458007,0.0015990734100341,0.0047118663787841,0.0055272579193115,0.0020015239715576,0.0027036666870117,0.0058629512786865,0.0028131008148193,0.0069348812103271,0.0016801357269287,0.0016500949859619,0.0016424655914306,0.0014848709106445
1,0.0018446445465087,0.0006184577941894,0.0006413459777832,0.001124620437622,0.0561513900756835,0.0235025882720947,0.4949178695678711,0.5298645496368408,0.4871368408203125,0.4833352565765381,0.5398879051208496,0.2340226173400879,0.0611128807067871,0.6617715358734131,0.0009658336639404,0.0009157657623291,0.0008583068847656,0.0008246898651123,0.0013630390167236,0.0008914470672607,0.0009031295776367,0.0013303756713867,0.0016160011291503,0.0015647411346435,0.0018558502197265,0.0022828578948974,0.0011203289031982,0.0012309551239013,0.0011720657348632,0.0010244846343994
2,0.0013260841369628,0.0007638931274414,0.0007719993591308,0.0005106925964355,0.478607177734375,0.1861665248870849,2.86806869506836,2.830214500427246,2.833690881729126,2.8225011825561523,0.4860310554504394,0.2502036094665527,0.0622467994689941,0.492319107055664,0.001115083694458,0.0011346340179443,0.0009536743164062,0.0009920597076416,0.0008788108825683,0.0009846687316894,0.0009636878967285,0.0008563995361328,0.0013933181762695,0.0015590190887451,0.0013327598571777,0.0016326904296875,0.0014631748199462,0.0014498233795166,0.0014741420745849,0.001326560974121
3,0.00091552734375,0.0007605552673339,0.0008199214935302,0.0005702972412109,0.4799728393554687,0.1859350204467773,2.878235101699829,2.830322027206421,2.8228635787963867,2.82175612449646,0.4883067607879638,0.3307962417602539,0.0621569156646728,0.6718771457672119,0.0011305809020996,0.0011591911315917,0.0010080337524414,0.0010616779327392,0.0009102821350097,0.0010814666748046,0.0011160373687744,0.0009393692016601,0.0014605522155761,0.0015809535980224,0.0014548301696777,0.00164794921875,0.0014998912811279,0.001535415649414,0.0015149116516113,0.0014128684997558
4,0.00175142288208,0.0007345676422119,0.0007219314575195,0.0015022754669189,0.0583827495574951,0.0239214897155761,0.5130016803741455,0.5053963661193848,0.5022766590118408,0.4994118213653564,0.4862387180328369,0.2148301601409912,0.0738270282745361,0.6627352237701416,0.0009593963623046,0.0010347366333007,0.0009148120880126,0.0009012222290039,0.0016183853149414,0.0009973049163818,0.0009870529174804,0.0020654201507568,0.0023639202117919,0.0017940998077392,0.002303123474121,0.0017812252044677,0.0015652179718017,0.0017154216766357,0.0016908645629882,0.001194953918457
5,0.0009281635284423,0.0007824897766113,0.0007801055908203,0.000565767288208,0.4813861846923828,0.1881260871887207,2.826453685760498,2.8158514499664307,2.8133389949798584,2.814398288726806,0.4933583736419678,0.2390487194061279,0.0744824409484863,0.6294300556182861,0.0010406970977783,0.0011537075042724,0.0010402202606201,0.0010409355163574,0.0009393692016601,0.001115083694458,0.0010595321655273,0.0009164810180664,0.001544713973999,0.001549482345581,0.0014369487762451,0.0016555786132812,0.0015211105346679,0.0015134811401367,0.0015182495117187,0.0013751983642578
6,0.0016803741455078,0.0007193088531494,0.0007321834564208,0.0014228820800781,0.0432808399200439,0.0189664363861084,0.3697776794433594,0.3728411197662353,0.3679969310760498,0.3694243431091308,0.3533685207366943,0.3325161933898926,0.080442190170288,0.3731606006622314,0.0017116069793701,0.0010228157043457,0.000925064086914,0.0021920204162597,0.0016083717346191,0.0009870529174804,0.0009915828704833,0.0020279884338378,0.0022852420806884,0.0017762184143066,0.0023703575134277,0.0017688274383544,0.0015585422515869,0.0016815662384033,0.0017211437225341,0.0012483596801757
7,0.0008962154388427,0.0007839202880859,0.0007898807525634,0.0006067752838134,0.4765882492065429,0.1941354274749755,2.8356316089630127,2.82295560836792,2.8199920654296875,2.8277833461761475,0.488443374633789,0.3333685398101806,0.079608678817749,0.8465235233306885,0.0010962486267089,0.0010581016540527,0.0009982585906982,0.001000165939331,0.0009586811065673,0.0010972023010253,0.0010781288146972,0.000882863998413,0.0014069080352783,0.0015392303466796,0.0016109943389892,0.0016398429870605,0.0014967918395996,0.0014986991882324,0.001528263092041,0.0013747215270996
8,0.0008869171142578,0.0007545948028564,0.0008094310760498,0.000598669052124,0.4384815692901611,0.1920502185821533,2.730959415435791,2.7278263568878174,2.7158329486846924,2.726435422897339,0.5010421276092529,0.3294830322265625,0.0781781673431396,0.5768349170684814,0.0010364055633544,0.0011508464813232,0.0010998249053955,0.0010268688201904,0.0009691715240478,0.0011219978332519,0.0010480880737304,0.0008835792541503,0.001410961151123,0.001662254333496,0.0014257431030273,0.001624584197998,0.0014519691467285,0.0016186237335205,0.0015523433685302,0.0013380050659179
9,0.0006275177001953,0.0007288455963134,0.0007271766662597,0.000577688217163,0.3237984180450439,0.1362237930297851,2.0964930057525635,2.091293334960937,2.08919644355774,2.101234197616577,0.4939703941345215,0.2740325927734375,0.0788075923919677,0.6744606494903564,0.0009794235229492,0.001110553741455,0.0010514259338378,0.0009477138519287,0.0009455680847167,0.0011279582977294,0.0010809898376464,0.0008449554443359,0.0014147758483886,0.0016064643859863,0.0014727115631103,0.0016632080078125,0.0014593601226806,0.0016314983367919,0.0015161037445068,0.0014841556549072
