sample_idx,MalConv,AvastStyleConv,BBDnn,NGramConv,EmberGBDT,ResNet18,MalConvRsDel,AvastStyleConvRsDel,BBDnnRsDel,NGramConvRsDel,MalConvRS,AvastStyleConvRS,BBDnnRS,NGramConvRS,MalConvFDRS,AvastStyleConvFDRS,BBDnnFDRS,NGramConvFDRS,MalConvKDRS,AvastStyleConvKDRS,BBDnnKDRS,NGramConvKDRS,MalConvRDRS,AvastStyleConvRDRS,NGramConvRDRS,BBDnnRDRS,MalConvSDRS,AvastStyleConvSDRS,BBDnnSDRS,NGramConvSDRS
281,0.0003924369812011,0.0005311965942382,0.0005621910095214,0.000314712524414,0.0658712387084961,0.0252728462219238,0.559523344039917,0.5598909854888916,0.5629773139953613,0.5600893497467041,0.5558929443359375,0.5552246570587158,0.5540313720703125,0.5530152320861816,0.0008637905120849,0.0008385181427001,0.0007638931274414,0.0007729530334472,0.0006909370422363,0.0008542537689208,0.0008611679077148,0.0006875991821289,0.0015020370483398,0.0013108253479003,0.0011086463928222,0.0016312599182128,0.0014185905456542,0.0013585090637207,0.0011277198791503,0.0010013580322265625
282,0.000413179397583,0.0005319118499755,0.0005548000335693,0.0003256797790527,0.1354696750640869,0.046083927154541,1.0885653495788574,1.0878350734710691,1.0863473415374756,1.0928421020507812,1.088457107543945,1.0896906852722168,1.0853981971740725,1.0827405452728271,0.0008394718170166,0.0008409023284912,0.0007548332214355,0.0007667541503906,0.0006909370422363,0.0008447170257568,0.0008444786071777,0.0006723403930664,0.0014784336090087,0.0012006759643554,0.0010673999786376,0.0016629695892333,0.0010693073272705,0.0015361309051513,0.0015556812286376,0.0010914802551269531
283,0.0003960132598876,0.0005271434783935,0.0005483627319335,0.0003399848937988,0.0746400356292724,0.0259745121002197,0.6297197341918945,0.6310434341430664,0.6256365776062012,0.6323599815368652,0.6292283535003662,0.6284148693084717,0.6274135112762451,0.6268980503082275,0.000840425491333,0.0008375644683837,0.0007498264312744,0.0007541179656982,0.0006632804870605,0.0008289813995361,0.0008265972137451,0.0004835128784179,0.0013689994812011,0.0013191699981689,0.0011317729949951,0.0016181468963623,0.0014398097991943,0.0015263557434082,0.0011014938354492,0.000997781753540039
284,0.0003788471221923,0.0005714893341064,0.0005333423614501,0.0003371238708496,0.0683009624481201,0.0286595821380615,0.6253762245178223,0.6271810531616211,0.6710519790649414,0.6284997463226318,0.6251180171966553,0.6195049285888672,0.6216747760772705,0.6174769401550293,0.0008292198181152,0.000838279724121,0.0007743835449218,0.0007581710815429,0.000669240951538,0.000826358795166,0.0008227825164794,0.0006918907165527,0.0015134811401367,0.0012340545654296,0.0010619163513183,0.0016331672668457,0.0010702610015869,0.0013899803161621,0.0015439987182617,0.0010807514190673828
285,0.0010740756988525,0.0005395412445068,0.000525951385498,0.0013802051544189,0.0694761276245117,0.0214364528656005,0.4468464851379394,0.4502730369567871,0.5898635387420654,0.4511213302612304,0.4467039108276367,0.4448928833007812,0.4459476470947265,0.444408655166626,0.000831127166748,0.000866413116455,0.0007596015930175,0.0007550716400146,0.0013895034790039,0.000849962234497,0.0008406639099121,0.001901626586914,0.0017578601837158,0.0013189315795898,0.0021097660064697,0.0012023448944091,0.0013809204101562,0.001194953918457,0.0015678405761718,0.0010287761688232422
286,0.00050950050354,0.0006098747253417,0.0006351470947265,0.0005373954772949,0.3869681358337402,0.1458735466003418,2.3289244174957275,2.3441412448883057,2.32591199874878,2.3369431495666504,2.3328685760498047,2.33348035812378,2.329289436340332,2.3465030193328857,0.0007758140563964,0.0008337497711181,0.0007529258728027,0.0007290840148925,0.0008065700531005,0.0008695125579833,0.0008630752563476,0.0007112026214599,0.0012428760528564,0.0014591217041015,0.001328706741333,0.00142502784729,0.0013074874877929,0.0014703273773193,0.0014021396636962,0.0012097358703613281
287,0.0004646778106689,0.0006005764007568,0.000619888305664,0.0004224777221679,0.0535316467285156,0.019702672958374,0.4060332775115967,0.4057743549346924,0.4064626693725586,0.4086782932281494,0.404414415359497,0.4031548500061035,0.4042282104492187,0.4001274108886719,0.0008330345153808,0.0009264945983886,0.0008184909820556,0.0007493495941162,0.000751256942749,0.0008771419525146,0.0009102821350097,0.0007519721984863,0.0015499591827392,0.0019667148590087,0.0011556148529052,0.0016696453094482,0.0014843940734863,0.0016291141510009,0.0016252994537353,0.0011861324310302734
288,0.0004324913024902,0.0005543231964111,0.000575304031372,0.0003745555877685,0.0753662586212158,0.0264098644256591,0.629321813583374,0.6351480484008789,0.6285169124603271,0.632523775100708,0.6265561580657959,0.6297976970672607,0.6554732322692871,0.6246130466461182,0.00083589553833,0.0008647441864013,0.0007765293121337,0.000772476196289,0.0007116794586181,0.0008764266967773,0.0008480548858642,0.0007035732269287,0.0011279582977294,0.0016758441925048,0.0011603832244873,0.001631736755371,0.0012500286102294,0.0012507438659667,0.0015451908111572,0.001039266586303711
289,0.0004286766052246,0.0005395412445068,0.000572919845581,0.0003910064697265,0.1017506122589111,0.0330560207366943,0.8491001129150391,0.8520941734313965,0.8480274677276611,0.8475117683410645,0.847074031829834,0.8443517684936523,0.84895920753479,0.845334529876709,0.0008642673492431,0.0008542537689208,0.0007691383361816,0.0007565021514892,0.0007252693176269,0.000859260559082,0.0008435249328613,0.00071382522583,0.0015325546264648,0.0016469955444335,0.001171588897705,0.0012686252593994,0.0014328956604003,0.0011894702911376,0.0012087821960449,0.0010764598846435547
290,0.0004069805145263,0.0005443096160888,0.0005497932434082,0.0003783702850341,0.2173306941986084,0.0782985687255859,1.5540711879730225,1.550153732299805,1.54815673828125,1.546107292175293,1.5492379665374756,1.545199632644653,1.5506412982940674,1.5440266132354736,0.0008385181427001,0.0008883476257324,0.000765323638916,0.0007538795471191,0.0007045269012451,0.0008511543273925,0.0008792877197265,0.0005269050598144,0.0013997554779052,0.0014765262603759,0.0011172294616699,0.0015993118286132,0.0013091564178466,0.0011918544769287,0.0014913082122802,0.0009889602661132812
