model,threshold@1%FPR,threshold@0.1%FPR
ResNet18,0.8101303577423096,0.9968672394752502
EmberGBDT,0.1053110137581825,0.8502793908119202
BBDnn,0.5327489972114563,0.9858742952346802
AvastStyleConv,0.9998089671134948,inf
MalConv,0.6440778970718384,0.9827136993408204
NGramConv,0.6172680258750916,0.922598123550415
