,AvastStyleConv,BBDnn,EmberGBDT,MalConv,NGramConv,ResNet18
BBDnnFDRS_gamma_30,0.625104954,0.643996641,0.629303107,0.619017632,0.630562552,0.637699412
BBDnnFDRS_gamma_50,0.624265323,0.646515533,0.639588581,0.620906801,0.629093199,0.640638119
BBDnnKDRS_CS,0.899034425,0.893366919,0.909319899,0.910579345,0.898194794,0.903232578
BBDnnKDRS_FD,0.928211587,0.928211587,0.928631402,0.928421495,0.928631402,0.928001679
BBDnnKDRS_gamma_05,0.602644836,0.601175483,0.6236356,0.592149454,0.597816961,0.613350126
BBDnnKDRS_gamma_10,0.585642317,0.585852225,0.591939547,0.585222502,0.597816961,0.592779177
BBDnnKDRS_gamma_20,0.590050378,0.600755668,0.611460957,0.587111671,0.596767422,0.595088161
BBDnnKDRS_gamma_30,0.590890008,0.608312343,0.598656591,0.586481948,0.594668346,0.60138539
BBDnnKDRS_gamma_50,0.591099916,0.615029387,0.606633081,0.586062133,0.594038623,0.603904282
BBDnnRDRS_CS,0.895256087,0.892947103,0.896305626,0.896515533,0.895675903,0.893576826
BBDnnRDRS_FD,0.890848027,0.889588581,0.889798489,0.89147775,0.88874895,0.891267842
BBDnnRDRS_gamma_05,0.537783375,0.539672544,0.554575987,0.539042821,0.533585223,0.538203191
BBDnnRDRS_gamma_10,0.539882452,0.537153652,0.535684299,0.542191436,0.534424853,0.536523929
BBDnnRDRS_gamma_20,0.539042821,0.554156171,0.547439127,0.536314022,0.540302267,0.535894207
BBDnnRDRS_gamma_30,0.541561713,0.556465155,0.54534005,0.537783375,0.535684299,0.546809404
BBDnnRDRS_gamma_50,0.53736356,0.561922754,0.55247691,0.540512175,0.539252729,0.550797649
BBDnnRS_CS,0.97774979,0.948572628,0.977329975,0.978379513,0.972502099,0.972292191
BBDnnRS_FD,0.947732997,0.947942905,0.947732997,0.947313182,0.947313182,0.947103275
BBDnnRS_gamma_05,0.905541562,0.904701931,0.892737196,0.873215785,0.91456759,0.917086482
BBDnnRS_gamma_10,0.887489505,0.865869018,0.858102435,0.866708648,0.894836272,0.879513014
BBDnnRS_gamma_20,0.888539043,0.866498741,0.86125105,0.864819479,0.898824517,0.883501259
BBDnnRS_gamma_30,0.885180521,0.872166247,0.878253568,0.87006717,0.889798489,0.88077246
BBDnnRS_gamma_50,0.882871537,0.877833753,0.876994123,0.874895046,0.893157011,0.883921075
BBDnnRsDel_CS,0.961376994,0.949412259,0.95906801,0.957388749,0.959907641,0.961796809
BBDnnRsDel_FD,0.974811083,0.974391268,0.973761545,0.974391268,0.974811083,0.975230898
BBDnnRsDel_gamma_05,0.703190596,0.70906801,0.706339211,0.69752309,0.702350966,0.708858102
BBDnnRsDel_gamma_10,0.733417296,0.72691016,0.732787573,0.727120067,0.728379513,0.725650714
BBDnnRsDel_gamma_20,0.726700252,0.735306465,0.731947943,0.727120067,0.727120067,0.727959698
BBDnnRsDel_gamma_30,0.730898405,0.740344249,0.728379513,0.727329975,0.730268682,0.730898405
BBDnnRsDel_gamma_50,0.729848866,0.737195634,0.732157851,0.72691016,0.729848866,0.734466835
BBDnnSDRS_CS,0.89504618,0.893996641,0.894206549,0.894626364,0.895256087,0.893576826
BBDnnSDRS_FD,0.892527288,0.892527288,0.892527288,0.892527288,0.892527288,0.892527288
BBDnnSDRS_gamma_05,0.546809404,0.550587741,0.555625525,0.547019312,0.54093199,0.54534005
BBDnnSDRS_gamma_10,0.541141898,0.544080605,0.538203191,0.544710327,0.539252729,0.542821159
BBDnnSDRS_gamma_20,0.541561713,0.557934509,0.554575987,0.543870697,0.540092359,0.54534005
BBDnnSDRS_gamma_30,0.543031066,0.564651553,0.549958018,0.545969773,0.540722082,0.550797649
BBDnnSDRS_gamma_50,0.545549958,0.570109152,0.559403862,0.545549958,0.541981528,0.552896725
BBDnnv_gamma_10,0.942905122,0.921074727,0.943115029,0.94395466,0.939546599,0.939756507
EmberGBDT_CS,0.998110831,0.998110831,0.994332494,0.998530647,0.998110831,0.997900924
EmberGBDT_FD,0.998740554,0.998740554,0.997900924,0.998740554,0.998530647,0.998740554
EmberGBDT_gamma_05,0.982157851,0.975230898,0.982157851,0.974601175,0.972502099,0.941645676
EmberGBDT_gamma_20,0.984466835,0.97061293,0.982787573,0.958438287,0.976070529,0.984466835
EmberGBDT_gamma_30,0.85495382,0.905121746,0.854534005,0.851175483,0.976700252,0.959697733
EmberGBDT_gamma_50,0.882451721,0.890638119,0.820109152,0.988245172,0.986146096,0.973551637
EmberGBDTv_gamma_10,0.990973971,0.977120067,0.880352645,0.869647355,0.990134341,0.95822838
MalConv_CS,0.979009236,0.973971453,0.977329975,0.945004198,0.978799328,0.978169605
MalConv_FD,0.954869857,0.953190596,0.955709488,0.937447523,0.954450042,0.954030227
MalConv_gamma_05,0.826406381,0.826616289,0.819689337,0.767212427,0.846137699,0.846557515
MalConv_gamma_10,0.344038623,0.386439966,0.321368598,0.261125105,0.389798489,0.401343409
MalConv_gamma_20,0.338371117,0.514903442,0.413098237,0.269101595,0.361670865,0.383711167
MalConv_gamma_30,0.341099916,0.487405542,0.301847187,0.271620487,0.352644836,0.384760705
MalConv_gamma_50,0.338161209,0.467884131,0.299958018,0.27225021,0.340050378,0.371746432
MalConvFDRS_CS,0.936188077,0.924643157,0.937657431,0.932619647,0.930310663,0.928211587
MalConvFDRS_FD,0.940176322,0.940596138,0.939966415,0.940806045,0.941015953,0.94038623
MalConvFDRS_gamma_05,0.554366079,0.651973132,0.641057935,0.54177162,0.56675063,0.627413938
MalConvFDRS_gamma_10,0.100125945,0.191015953,0.121746432,0.090260285,0.085852225,0.10768262
MalConvFDRS_gamma_20,0.096767422,0.331234257,0.18324937,0.08627204,0.083543241,0.115869018
MalConvFDRS_gamma_30,0.097187238,0.321998321,0.099286314,0.087111671,0.083753149,0.112510495
MalConvFDRS_gamma_50,0.091939547,0.296809404,0.102854744,0.083333333,0.081444165,0.111041142
