i,model,num_epochs,time_per_epoch,total_training_time_seconds,total_training_time_hours
0,ResNet18,16,493.8270559310913,7901.232894897461,2.1947869152492947
1,AvastStyleConv,9,3046.1093859672546,27414.98447370529,7.615273464918136
2,AvastStyleConvRS,7,4109.609696149826,28767.267873048782,7.990907742513551
3,AvastStyleConvRsDel,14,117.00855684280396,1638.1197957992554,0.45503327661090426
4,AvastStyleConvFDRS,42,173.44098472595215,7284.52135848999,2.0234781551361083
5,AvastStyleConvKDRS,47,271.0847136974335,12740.981543779373,3.539161539938715
6,AvastStyleConvRDRS,25,424.9134979248047,10622.837448120117,2.9507881800333657
7,AvastStyleConvSDRS,44,301.68501019477844,13274.140448570251,3.687261235713959
8,BBDnn,16,1350.2117052078247,21603.387283325195,6.0009409120347765
9,BBDnnRS,23,1645.5222971439362,37847.01283431053,10.513059120641815
10,BBDnnRsDel,46,65.21203875541687,2999.753782749176,0.8332649396525489
11,BBDnnFDRS,40,448.92393589019775,17956.95743560791,4.988043732113309
12,BBDnnKDRS,51,373.4340479373932,19045.136444807053,5.290315679113069
13,BBDnnRDRS,13,407.3154239654541,5295.100511550903,1.4708612532085843
14,BBDnnSDRS,24,495.5128347873688,11892.30803489685,3.3034188985824584
15,MalConv,7,46.07090353965759,322.49632477760315,0.0895823124382231
16,MalConvRS,41,20.33471131324768,833.7231638431549,0.2315897677342097
17,MalConvRsDel,32,327.3862473964691,10476.359916687012,2.910099976857503
18,MalConvFDRS,54,141.70756936073303,7652.208745479584,2.1256135404109955
19,MalConvKDRS,80,289.6313102245331,23170.504817962646,6.436251338322958
20,MalConvRDRS,16,233.93961906433105,3743.033905029297,1.0397316402859158
21,MalConvSDRS,55,255.58163166046143,14056.989741325378,3.904719372590383
22,NGramConv,26,3317.2227885723114,86247.7925028801,23.957720139688913
23,NGramConvRS,15,4348.845412015915,65232.681180238724,18.120189216732978
24,NGramConvRsDel,42,113.33173179626465,4759.932735443115,1.3222035376230876
25,NGramConvFDRS,48,183.02841019630432,8785.363689422607,2.4403788026173907
26,NGramConvKDRS,47,396.6556830406189,18642.817102909088,5.178560306363636
27,NGramConvRDRS,17,433.76353573799133,7373.980107545853,2.0483278076516256
28,NGramConvSDRS,26,479.86642479896545,12476.527044773102,3.4657019568814174
